form_number,title,category,court_revision_date,content_id,download_url,status,notes
12.901(a),"Joint Petition for Simplified Dissolution of Marriage",family_law,06/2025,685807,https://www.flcourts.gov/content/download/685807/file_pdf/901a.pdf,verified,"PDF and RTF both published; content_id is the stable key"
12.901(b)(1),"Petition for Dissolution of Marriage with Dependent or Minor Child(ren)",family_law,02/2018,685808,https://www.flcourts.gov/content/download/685808/file_pdf/901b1.pdf,verified,""
12.901(b)(2),"Petition for Dissolution of Marriage with Property but No Dependent or Minor Child(ren)",family_law,02/2018,685809,https://www.flcourts.gov/content/download/685809/file_pdf/901b2.pdf,verified,""
12.901(b)(3),"Petition for Dissolution of Marriage with No Dependent or Minor Child(ren) or Property",family_law,02/2018,685810,https://www.flcourts.gov/content/download/685810/file_pdf/901b3.pdf,verified,""
12.902(c),"Family Law Financial Affidavit (Long Form)",family_law,06/2025,685813,https://www.flcourts.gov/content/download/685813/file_pdf/12.902c.pdf,verified,"For individual gross income of 50k+/year"
12.902(d),"Uniform Child Custody Jurisdiction and Enforcement Act (UCCJEA) Affidavit",family_law,confirm,685814,https://www.flcourts.gov/content/download/685814/file_pdf/902d.pdf,verified,"Revision date to confirm at harvest"
12.902(e),"Child Support Guidelines Worksheet",family_law,06/2025,685815,https://www.flcourts.gov/content/download/685815/file_pdf/12.902e.pdf,verified,""
12.902(f)(1),"Marital Settlement Agreement for Dissolution of Marriage with Dependent or Minor Child(ren)",family_law,02/2018,685816,https://www.flcourts.gov/content/download/685816/file_pdf/902f1.pdf,verified,""
12.903(b),"Answer to Petition for Dissolution of Marriage",family_law,confirm,685823,https://www.flcourts.gov/content/download/685823/file_pdf/903b.pdf,verified,"Revision date to confirm at harvest"
12.903(c)(1),"Answer to Petition and Counterpetition for Dissolution of Marriage with Dependent or Minor Child(ren)",family_law,02/2018,685824,https://www.flcourts.gov/content/download/685824/file_pdf/903c1.pdf,verified,""
12.905(a),"Supplemental Petition to Modify Parental Responsibility / Time-Sharing and Other Relief",family_law,11/2015,685834,https://www.flcourts.gov/content/download/685834/file_pdf/905a.pdf,verified,""
12.910(a),"Summons: Personal Service on an Individual",family_law,confirm,685838,https://www.flcourts.gov/content/download/685838/file_pdf/910a.pdf,verified,"Revision date to confirm at harvest"
12.900,"Attorney / Non-Lawyer Representation (Forms A-H)",family_law,,,,pending_harvest,"Form group - individual forms to be harvested"
12.901,"Petition for Dissolution of Marriage (Forms A-B3)",family_law,,,,group_complete,"All four sub-forms verified above (a, b1, b2, b3)"
12.902,"Additional Supporting Documents (Forms B-J)",family_law,,,,partial,"c, d, e, f1 verified above; remaining sub-forms to harvest"
12.903,"Answers to Dissolution (Forms A-E)",family_law,,,,partial,"b and c1 verified above; remaining sub-forms to harvest"
12.912,"Military Service (Forms A-B)",family_law,,,,pending_harvest,""
12.913,"Notices and Diligent Search (Forms A-C)",family_law,,,,pending_harvest,""
12.914,"Certificate of Service (General)",family_law,,,,pending_harvest,""
12.915,"Designation of Current Mailing and E-mail Address",family_law,,,,pending_harvest,""
12.920,"Form group 12.920 (Forms A-C)",family_law,,,,pending_harvest,"Group name to confirm at harvest"
12.921,"Form group 12.921",family_law,,,,pending_harvest,"Group name to confirm at harvest"
12.922,"Motion for Default (Forms A-C)",family_law,,,,pending_harvest,"Group name to confirm at harvest"
12.923,"Notice of Hearing (General)",family_law,,,,pending_harvest,"Group name to confirm at harvest"
12.924,"Notice for Trial",family_law,,,,pending_harvest,"Group name to confirm at harvest"
12.927,"Form group 12.927",family_law,,,,pending_harvest,"Group name to confirm at harvest"
12.928,"Form group 12.928",family_law,,,,pending_harvest,"Group name to confirm at harvest"
12.930,"Discovery (Forms A-D)",family_law,,,,pending_harvest,"Group name to confirm at harvest"
12.931,"Form group 12.931 (Forms A-B)",family_law,,,,pending_harvest,"Group name to confirm at harvest"
12.932,"Certificate of Compliance with Mandatory Disclosure",family_law,,,,pending_harvest,"Group name to confirm at harvest"
12.940,"Dissolve / Modify Injunction (Forms D-E)",family_law,,,,pending_harvest,""
12.942,"Guardian ad Litem (Forms A-B)",family_law,,,,pending_harvest,""
12.943,"Motion to Deviate from Child Support Guidelines",family_law,,,,pending_harvest,""
12.950,"Involving Relocation (Forms A-J)",family_law,,,,pending_harvest,""
12.951,"Disestablish Paternity (Forms A-B)",family_law,,,,pending_harvest,""
12.960,"Enforcement",family_law,,,,pending_harvest,""
12.961,"Form group 12.961",family_law,,,,pending_harvest,"Group name to confirm at harvest"
12.970,"Form group 12.970 (Forms A-F)",family_law,,,,pending_harvest,"Group name to confirm at harvest"
12.975,"Form group 12.975 (Forms A-B)",family_law,,,,pending_harvest,"Group name to confirm at harvest"
12.980,"Domestic Violence and Dating Violence (Forms A-E, N-P)",family_law,,,,pending_harvest,"Injunction for protection forms"
12.981,"Adoption (Forms A1-D2)",family_law,,,,pending_harvest,"Group name to confirm at harvest"
12.982,"Name Change (Forms A-G)",family_law,,,,pending_harvest,"Group name to confirm at harvest"
12.983,"Paternity (Forms A-G)",family_law,,,,pending_harvest,"Group name to confirm at harvest"
12.984,"Form group 12.984 (Forms A-D)",family_law,,,,pending_harvest,"Group name to confirm at harvest"
12.985,"Form group 12.985 (Forms A-G)",family_law,,,,pending_harvest,"Group name to confirm at harvest"
12.990,"Dissolution Final Judgments (Forms A-C2)",family_law,,,,pending_harvest,"Judge-use forms"
12.993,"Modification of Final Judgments (Forms A-C)",family_law,,,,pending_harvest,""
12.994,"Form group 12.994 (Forms A-B)",family_law,,,,pending_harvest,"Group name to confirm at harvest"
12.995,"Parenting Plan (Forms A-C)",family_law,,,,pending_harvest,"Includes Safety-Focused and Relocation/Long-Distance plans"
12.996,"Income Deduction Order (Forms A-C)",family_law,,,,pending_harvest,""
12.999,"Disposition / Cover Sheet",family_law,,,,pending_harvest,"Group name to confirm at harvest"
