id,form_number,title,current_category,current_status,target_area,confidence,reason
0f7102de-ebd4-4086-871d-31fa3b18bc7d,12.900(a),OF PROCEDURE – FORMS.,family_law_procedure,published,filing,high,FL Supreme Court family law form series (12.9xx)
d1bdd004-7faf-40b6-a38b-712bf8d3fa1b,12.900(b),Notice of and Consent to Limited Appearance,family_law_procedure,published,filing,high,filing title signal: notice of
c43920ce-23c4-4ad6-9420-305fe55ae54a,12.900(d),Termination of Limited Appearance,family_law_procedure,published,filing,high,filing title signal: termination of
95655902-4057-4ae5-a557-e9d06a68c288,12.900(e),Acknowledgment of Assistance by Attorney,family_law_procedure,published,filing,high,FL Supreme Court family law form series (12.9xx)
7c35fd22-36a0-4a5c-bea1-643ac0cfa755,12.900(f),Signature Block for Attorney Making Limited Appearance,family_law_procedure,published,filing,high,FL Supreme Court family law form series (12.9xx)
0b675dba-b210-46d2-940c-160154c3efda,12.900(g),Agreement Limiting Representation,family_law_procedure,published,filing,high,FL Supreme Court family law form series (12.9xx)
9e4861bc-2f57-4b3e-bf23-c0780ce0b060,12.900(h),Notice of Related Cases,family_law_procedure,published,filing,high,filing title signal: notice of
147070ca-b26a-48c3-acbe-d79b50b651f6,12.901(a),12.901 A ,family_law_dissolution,published,filing,high,FL Supreme Court family law form series (12.9xx)
9407f659-39ff-4237-b4bf-a6539588d47c,12.901(b)(1),Petition for Dissolution of Marriage with Dependent or Minor Child(ren),family_law_dissolution,stale,filing,high,filing title signal: petition
73787910-9aec-459a-bca7-44a9900e3e14,12.901(b)(2),12.901 B  2 ,family_law_dissolution,stale,filing,high,FL Supreme Court family law form series (12.9xx)
f8ee8d66-f970-4237-984b-d2feb9cb94ff,12.901(b)(3),Petition for Dissolution of Marriage with No Dependent or Minor Child(ren) or Property,family_law_dissolution,stale,filing,high,filing title signal: petition
fc6c5821-dfb9-4ef2-933d-72a877d0ae3c,12.902(b),12.902 B ,family_law_financial,published,filing,high,FL Supreme Court family law form series (12.9xx)
7f76d036-4673-4d30-bb2d-a2756a2b8af6,12.902(c),Family Law Financial Affidavit (Long Form),family_law_financial,stale,filing,high,filing title signal: affidavit
a38e3884-39bd-4710-af0c-c8cfc652d958,12.902(d),Uniform Child Custody Jurisdiction and Enforcement Act (UCCJEA) Affidavit,family_law_financial,published,filing,high,filing title signal: affidavit
6d087b59-52f2-4e75-99f7-526ebee636d4,12.902(e),Child Support Guidelines Worksheet (06/25),family_law_financial,stale,filing,high,filing title signal: support
15b7184d-9d7b-45fc-8e6c-9b785f7ff1d8,12.902(f)(1),Marital Settlement Agreement with Children,family_law,published,filing,high,filing title signal: settlement agreement
5ed29ad9-412f-4869-9cd8-96ca992baf69,12.902(f)(2),Marital Settlement Agreement without Children,family_law,rejected,filing,high,filing title signal: settlement agreement
c4474bdd-f623-448c-a6c2-884e777d5cc1,12.902(i),Affidavit of Corroborating Witness,family_law_financial,published,filing,high,filing title signal: affidavit
3061adb5-f35c-40fa-b468-1e245c07a201,12.902(j),Notice of Social Security Number,clerk_administrative,review,redaction,high,redaction pattern: social security number
e927bbb2-3f52-42f2-b26b-8abecd86feb7,12.903(a),"Answer, Waiver, and Request for Copy of Final Judgment of Dissolution of Marriage",family_law_children,published,filing,high,filing title signal: answer
db68b899-b337-4008-9fd7-662ae6a617e1,12.903(b),Answer to Petition for Dissolution of Marriage,family_law_children,published,filing,high,filing title signal: petition
f22defb0-15c7-40eb-aa56-826383f35035,12.903(c)(1),Answer to Supplemental Petition,family_law_children,stale,filing,high,filing title signal: petition
d41410e6-d6c1-4e6f-959e-88700c2af29e,12.903(c)(2),Answer to Petition and Counterpetition for Dissolution of Marriage with Property but No Dependent or Minor Child(ren),family_law_children,published,filing,high,filing title signal: petition
c57d83f1-743d-4498-a26e-fccba3c7b3a7,12.903(c)(3),Answer to Petition and Counterpetition for Dissolution of Marriage with No Dependent or Minor Child(ren) or Property,family_law_children,published,filing,high,filing title signal: petition
3eb0a177-2855-4c36-979a-a4188428b805,12.903(d),Answer to Counterpetition,family_law_children,published,filing,high,filing title signal: petition
